veh_id,departure_time,arrival_time,enter_location_system,leave_location_system,vehicle_type,parking_zone_sequence,intend_parking_block,prone_factor,max_num_of_zones_can_pass_through,actual_passed_through_zones_num,actual_passed_through_zones,whether_parking_success,parking_space_id,parking_time_legal,cruising_time_threshold_legal,average_cruising_speed,actual_cruising_time,selfish_factor,illegal_behavior_state,parking_space_type_illegal1,average_cruising_speed_illegal,actual_cruising_time_illegal,whether_illegal_parking_success
parking_B_1_PUDO_2,411,995,ai,bo,PUDO,"['b', 'c', 'a']",b17,2,1,1,['b'],True,bp17_4,342.29794705217785,257,4.9256395374515645,76,1,0,,,0,False
parking_A_1_PUDO_4,519,887,ci,ao,PUDO,"['a', 'c', 'b']",a12,1,1,1,['a'],True,ap12_5,89.37893620064831,276,6.86089736627875,38,1,0,,,0,False
parking_A_1_LUL_4,522,1754,ci,co,LUL,"['a', 'c', 'b']",a12,1,1,1,['a'],True,ap12_3,961.5310801729999,250,6.159154703475086,38,0,0,,,0,False
parking_B_1_LUL_1,530,1735,bi,bo,LUL,"['b', 'a', 'c']",b14,1,2,1,['b'],True,bp12_5,1107.2007266507962,207,8.468063009826832,19,1,0,,,0,False
parking_A_1_LUL_5,552,3612,di,co,LUL,"['a', 'b', 'c']",a11,2,3,1,['a'],True,ap11_2,2813.217691548858,290,3.696815586947091,35,0,0,,,0,False
parking_C_1_PARK_0,677,970,ai,do,PARK,"['c', 'a', 'b']",c8,1,1,1,['c'],False,,2351.0288730523116,92,7.286697040544848,138.0,1,3,,6.040632380888481,46,False
parking_C_1_PUDO_2,685,1876,ai,ao,PUDO,"['c', 'b', 'a']",c7,1,3,1,['c'],True,cp7_2,998.9822015125421,194,6.443237625030358,27,0,0,,,0,False
parking_B_1_LUL_2,702,3216,bi,ao,LUL,"['b', 'a', 'c']",b8,2,1,1,['b'],True,bp8_4,2227.6663407303176,232,3.5319010325783156,86,0,0,,,0,False
parking_B_1_LUL_3,713,1731,ci,bo,LUL,"['b', 'a', 'c']",b8,1,2,1,['b'],True,bp18_1,705.282916109068,245,3.349893956500546,124,0,0,,,0,False
parking_A_1_PARK_4,753,2700,ci,do,PARK,"['a', 'b', 'c']",a11,2,2,1,['a'],True,ap18_4,1678.1253730818232,156,6.354941367598477,67,0,0,,,0,False
